OBJECTID,TRACT,BLKGRP,GEOID,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,OP000001,OP000002,OP000003,OP000004,P0020002,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,OP00005,OP00006,OP00007,OP00008,P0030001,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,OP00009,OP00010,OP00011,OP00012,P0040002,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,OP000013,OP000014,OP000015,OP000016,H0010001,H0010002,H0010003,SHAPE_Length,SHAPE_Area
53,001401,1,110010014011,1936,1866,1515,151,3,159,0,38,30,13,34,4,166,1392,149,1,159,0,7,29,13,28,4,1583,1227,140,3,142,0,31,16,12,17,4,135,1126,138,1,142,0,5,15,12,14,4,1053,999,54,3031.9826086007,357388.018928621
54,001401,2,110010014012,1142,1109,1026,27,2,39,0,15,7,2,21,0,44,1002,27,0,39,0,5,7,1,16,0,836,765,22,1,31,0,9,1,2,5,0,25,747,22,0,31,0,4,1,1,5,0,425,416,9,2716.60305060046,430862.782222374
55,001402,1,110010014021,928,904,792,83,0,23,0,6,12,4,10,0,40,762,80,0,22,0,3,11,2,9,0,684,587,59,0,18,0,6,9,3,4,0,33,560,59,0,17,0,3,8,2,3,0,357,350,7,2421.86547020173,337343.939571637
56,001402,2,110010014022,797,774,683,64,0,18,0,9,14,4,8,0,41,655,64,0,18,0,0,14,2,8,0,651,558,58,0,15,0,8,8,3,3,0,31,538,58,0,15,0,0,8,2,3,0,494,416,78,3124.58936897139,359656.862032076
57,001402,3,110010014023,1273,1243,859,209,5,119,0,51,14,5,16,1,151,765,206,4,119,0,4,11,4,14,1,1111,736,199,5,108,0,40,8,5,13,1,125,656,197,4,108,0,2,7,4,12,1,761,706,55,2145.90311233476,198120.468359388
58,001500,1,110010015001,1441,1386,963,340,2,47,1,33,25,9,21,0,109,892,334,2,47,1,8,24,3,21,0,1088,721,276,2,41,1,22,14,7,5,0,75,669,272,2,41,1,7,14,3,5,0,557,543,14,11088.9102750744,3124366.0217056
59,001500,2,110010015002,872,844,786,41,0,14,0,3,7,6,18,2,43,746,41,0,13,0,3,7,6,17,2,608,549,32,0,12,0,2,2,3,8,2,32,520,32,0,11,0,2,2,3,7,2,323,316,7,2500.95397321706,316895.191577864
60,001500,3,110010015003,994,963,891,44,3,14,0,11,12,7,18,2,47,857,44,2,14,0,3,12,7,14,2,802,729,43,3,13,0,5,5,3,3,1,28,706,43,2,13,0,2,5,3,2,1,271,267,4,2404.42383547601,284979.142886456
61,001500,4,110010015004,1541,1507,1273,183,2,44,1,4,9,1,18,4,72,1212,183,2,44,1,3,8,1,15,4,1149,946,147,2,34,1,3,3,1,11,2,49,904,147,2,34,1,2,2,1,8,2,607,591,16,3244.37025989469,652022.527594532
62,001500,5,110010015005,1063,1029,964,35,0,26,0,4,14,11,22,0,33,935,35,0,26,0,4,11,10,19,0,724,664,23,0,19,0,2,9,7,9,0,21,645,23,0,19,0,2,8,6,8,0,368,364,4,2362.35289902535,320343.625215781
63,001600,1,110010016001,1048,1003,237,736,2,18,0,10,33,13,15,0,47,211,727,2,18,0,6,30,13,15,0,848,173,630,1,15,0,5,14,11,6,0,28,156,627,1,15,0,2,14,11,6,0,436,422,14,3185.97144736114,479413.344527351
64,001600,2,110010016002,671,616,192,377,0,7,1,39,38,14,21,0,68,179,370,0,7,0,7,32,8,13,0,519,149,309,0,7,1,26,18,9,10,0,46,142,302,0,7,0,3,16,7,7,0,289,272,17,2208.26462347455,193396.486331449
65,001600,3,110010016003,819,804,195,581,1,16,0,11,11,6,3,0,25,192,571,0,16,0,0,11,6,3,0,670,165,476,1,15,0,6,5,4,1,0,20,162,466,0,15,0,0,5,4,1,0,335,322,13,2812.04633793505,354859.587425797
66,001600,4,110010016004,1419,1376,373,976,5,14,0,8,32,18,6,0,60,348,953,2,14,0,2,31,18,6,0,1202,314,840,4,11,0,5,22,17,2,0,42,296,824,2,11,0,1,22,17,2,0,625,604,21,7604.10641083891,1671608.44026918
